place_id	place_name	day	hour	movement
ChIJjcTkSwbhYY0RRH0cfOKJ9pA	Moviecom	Sunday	0	0.0
ChIJjcTkSwbhYY0RRH0cfOKJ9pA	Moviecom	Sunday	1	0.0
ChIJjcTkSwbhYY0RRH0cfOKJ9pA	Moviecom	Sunday	2	0.0
ChIJjcTkSwbhYY0RRH0cfOKJ9pA	Moviecom	Sunday	3	0.0
ChIJjcTkSwbhYY0RRH0cfOKJ9pA	Moviecom	Sunday	4	0.0
ChIJjcTkSwbhYY0RRH0cfOKJ9pA	Moviecom	Sunday	5	0.0
ChIJjcTkSwbhYY0RRH0cfOKJ9pA	Moviecom	Sunday	6	0.0
ChIJjcTkSwbhYY0RRH0cfOKJ9pA	Moviecom	Sunday	7	0.0
ChIJjcTkSwbhYY0RRH0cfOKJ9pA	Moviecom	Sunday	8	0.0
ChIJjcTkSwbhYY0RRH0cfOKJ9pA	Moviecom	Sunday	9	0.0
ChIJjcTkSwbhYY0RRH0cfOKJ9pA	Moviecom	Sunday	10	0.0
ChIJjcTkSwbhYY0RRH0cfOKJ9pA	Moviecom	Sunday	11	0.0
ChIJjcTkSwbhYY0RRH0cfOKJ9pA	Moviecom	Sunday	12	0.0
ChIJjcTkSwbhYY0RRH0cfOKJ9pA	Moviecom	Sunday	13	0.0
ChIJjcTkSwbhYY0RRH0cfOKJ9pA	Moviecom	Sunday	14	0.54
ChIJjcTkSwbhYY0RRH0cfOKJ9pA	Moviecom	Sunday	15	0.7
ChIJjcTkSwbhYY0RRH0cfOKJ9pA	Moviecom	Sunday	16	0.8
ChIJjcTkSwbhYY0RRH0cfOKJ9pA	Moviecom	Sunday	17	0.86
ChIJjcTkSwbhYY0RRH0cfOKJ9pA	Moviecom	Sunday	18	0.95
ChIJjcTkSwbhYY0RRH0cfOKJ9pA	Moviecom	Sunday	19	1.0
ChIJjcTkSwbhYY0RRH0cfOKJ9pA	Moviecom	Sunday	20	0.92
ChIJjcTkSwbhYY0RRH0cfOKJ9pA	Moviecom	Sunday	21	0.7
ChIJjcTkSwbhYY0RRH0cfOKJ9pA	Moviecom	Sunday	22	0.37
ChIJjcTkSwbhYY0RRH0cfOKJ9pA	Moviecom	Sunday	23	0.0
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Monday	0	0.0
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Monday	1	0.0
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Monday	2	0.0
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Monday	3	0.0
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Monday	4	0.0
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Monday	5	0.0
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Monday	6	0.0
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Monday	7	0.0
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Monday	8	0.0
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Monday	9	0.55
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Monday	10	0.78
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Monday	11	0.94
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Monday	12	1.0
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Monday	13	0.97
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Monday	14	0.92
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Monday	15	0.91
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Monday	16	0.94
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Monday	17	0.92
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Monday	18	0.82
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Monday	19	0.58
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Monday	20	0.0
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Monday	21	0.0
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Monday	22	0.0
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Monday	23	0.0
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Tuesday	0	0.0
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Tuesday	1	0.0
